account_id,observation_date,is_churn,total_events,uniq_prod_ct,total_freebies,pct_reading,pct_downloads_per_book,readingownedbook,ebookdownloaded,readingfreepreview,highlightcreated,freecontentcheckout,readingopenchapter,producttoclivebooklinkopened,livebooklogin
02f459d4bf2493410961300a536049b1,2020-03-01,True,96,2,0,0.91666666666666666667,0.50000000000000000000,88,1,0,1,0,0,0,1
02f80d17d8052f64ff532a753aad5f8b,2020-03-01,True,17,2,0,0.94117647058823529412,0E-20,16,0,0,0,0,0,0,1
02f8f81f06a8de78f8ae886ebd2134ec,2020-03-01,True,64,2,0,0.92187500000000000000,0.50000000000000000000,59,1,0,0,0,0,0,2
031333ed228a396c928fccda8d815597,2020-03-01,True,3,1,0,0.66666666666666666667,0E-20,2,0,0,0,0,0,0,0
03135acfcacf20846c4fc152d0b7b8ca,2020-03-01,False,4,3,0,0.25000000000000000000,1.00000000000000000000,1,3,0,0,0,0,0,0
0315243c468b238bf15c230c774c9791,2020-03-01,True,19,13,4,0.10526315789473684211,0.69230769230769230769,2,9,1,0,3,0,0,1
03189164fbcd224cad1cef60c504a1e2,2020-03-01,False,26,9,1,0.19230769230769230769,2.1111111111111111,5,19,0,0,1,0,0,1
0322210c0f21d136d999813ce0efe9e1,2020-03-01,False,46,3,1,0.84782608695652173913,0.33333333333333333333,39,1,0,0,1,0,0,2
03255bcbdb6a812349b9da4bb0950f71,2020-03-01,True,5,2,0,0.60000000000000000000,0E-20,3,0,0,0,0,0,0,1
03279a0861801a821338d1c83b96f846,2020-03-01,True,6,2,0,0.33333333333333333333,1.00000000000000000000,2,2,0,0,0,0,0,1
03322a462fd57cda81c0379b4d194db2,2020-03-01,True,11,4,0,0.45454545454545454545,0.75000000000000000000,5,3,0,1,0,0,0,1
033bbc2fa3284073642e2d577b2b1cb4,2020-03-01,True,28,2,0,0.92857142857142857143,0.50000000000000000000,26,1,0,0,0,0,0,1
034260c0426cf36118803ce0df4457fd,2020-03-01,False,317,6,0,0.44164037854889589905,0.16666666666666666667,140,1,0,140,0,0,2,2
034293810510232c9ab99c499e090ce6,2020-03-01,False,86,8,0,0.68604651162790697674,0E-20,59,0,0,0,0,0,1,0
034710a2b4e4fcf055d72e8c24350c54,2020-03-01,True,41,3,0,0.85365853658536585366,0E-20,35,0,0,0,0,0,0,0
034a83232c65b64504413fc83aef8608,2020-03-01,False,255,12,3,0.69803921568627450980,0.16666666666666666667,178,2,1,3,0,2,2,3
034f460fda4f9c5b00974290fa4bafa4,2020-03-01,True,2,1,0,0.50000000000000000000,1.00000000000000000000,1,1,0,0,0,0,0,0
034fafceabbc402af3b12fda1a36be00,2020-03-01,True,4,1,0,1.00000000000000000000,0E-20,4,0,0,0,0,0,0,0
035473bd10f75fce5fc6e9a1fdc46468,2020-03-01,True,3,1,0,1.00000000000000000000,0E-20,3,0,0,0,0,0,0,0
03558ff08644428f3a76d65baa801942,2020-03-01,True,53,2,0,0.88679245283018867925,0E-20,47,0,0,0,0,0,1,2
035a6cffc4f9c69ee249eef617797e9a,2020-03-01,True,34,7,1,0.61764705882352941176,0E-20,21,0,1,0,0,0,3,1
035cbdf4581ee4c1cf0271a6e82d46dc,2020-03-01,True,12,1,0,0.66666666666666666667,1.00000000000000000000,8,1,0,0,0,0,0,0
035d7cf26cd0316c1b870ca3f9a18a89,2020-03-01,True,10,1,0,0.80000000000000000000,0E-20,8,0,0,0,0,0,0,0
03606d6448ec149e8f8edc49c8c5ed9f,2020-03-01,True,12,2,3,0.25000000000000000000,0E-20,3,0,0,0,0,3,0,2
036693fe730fe6e807f07830bc20994f,2020-03-01,True,14,2,1,0.50000000000000000000,0E-20,7,0,1,0,0,0,5,0
036aa34c210a8a1072a65d5aa7774401,2020-03-01,False,8,4,0,0.50000000000000000000,0E-20,4,0,0,0,0,0,3,1
036aab387db1f9143437106fc89f5a95,2020-03-01,True,1,1,0,1.00000000000000000000,0E-20,1,0,0,0,0,0,0,0
